«В начале было Слово...»;история;2
«В начале было Слово...»;литература;3
«Наследники Левши»;физика;3
XIII Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение);искусство, черчение;2
Всероссийская олимпиада по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг;финансовая грамотность;3
Всероссийская олимпиада учащихся музыкальных колледжей;хоровое дирижирование;2
Всероссийская олимпиада учащихся музыкальных колледжей;инструменты народного оркестра;2
Всероссийская олимпиада учащихся музыкальных колледжей;струнные инструменты;3
Всероссийская олимпиада учащихся музыкальных колледжей;теория и история музыки;2
Всероссийская олимпиада учащихся музыкальных колледжей;музыкальная педагогика и исполнительство;3
Всероссийская олимпиада школьников «Высшая проба»;биология;2
Всероссийская олимпиада школьников «Высшая проба»;востоковедение;2
Всероссийская олимпиада школьников «Высшая проба»;дизайн;1
Всероссийская олимпиада школьников «Высшая проба»;журналистика;1
Всероссийская олимпиада школьников «Высшая проба»;иностранный язык;1
Всероссийская олимпиада школьников «Высшая проба»;восточные языки;2
Всероссийская олимпиада школьников «Высшая проба»;электроника и вычислительная техника;2
Всероссийская олимпиада школьников «Высшая проба»;информатика;1
Всероссийская олимпиада школьников «Высшая проба»;история;1
Всероссийская олимпиада школьников «Высшая проба»;история мировых цивилизаций;2
Всероссийская олимпиада школьников «Высшая проба»;культурология;1
Всероссийская олимпиада школьников «Высшая проба»;математика;1
Всероссийская олимпиада школьников «Высшая проба»;основы бизнеса;3
Всероссийская олимпиада школьников «Высшая проба»;обществознание;1
Всероссийская олимпиада школьников «Высшая проба»;политология;1
Всероссийская олимпиада школьников «Высшая проба»;право;1
Всероссийская олимпиада школьников «Высшая проба»;психология;2
Всероссийская олимпиада школьников «Высшая проба»;русский язык;1
Всероссийская олимпиада школьников «Высшая проба»;социология;1
Всероссийская олимпиада школьников «Высшая проба»;физика;3
Всероссийская олимпиада школьников «Высшая проба»;филология;1
Всероссийская олимпиада школьников «Высшая проба»;философия;1
