#name;Университет МИСИС;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет МИСИС»;;;
1;03.03.02;Физика;MFR;;
2;11.03.04;Электроника и наноэлектроника;MFCIR;;
3;13.03.02;Электроэнергетика и электротехника;MFCIR;;
4;15.03.02;Технологические машины и оборудование;MFCIR;;
5;21.00.00;Геотехнологии;MFCIR;;
6;21.05.04;Горное дело заочное;MFCIR;;
7;22.03.01;Материаловедение и технологии материалов;MFCIR;;
8;22.03.02;Металлургия;MFCIR;;
9;28.00.00;Нанотехнологии и наноматериалы;MFCIR;;
10;08.03.01;Строительство очно-заочное СТИ;MFIR;;
11;08.03.01;Строительство СТИ;MFIR;;
12;13.03.01;Теплоэнергетика и теплотехника заочное СТИ;MFIR;;
13;13.03.01;Теплоэнергетика и теплотехника СТИ;MFIR;;
14;13.03.02;Электроэнергетика и электротехника заочное СТИ;MFIR;;
15;13.03.02;Электроэнергетика и электротехника СТИ;MFIR;;
16;15.03.02;Технологические машины и оборудование заочное СТИ;MFIR;;
17;15.03.02;Технологические машины и оборудование СТИ;MFIR;;
18;22.03.02;Металлургия заочное СТИ;MFIR;;
19;22.03.02;Металлургия СТИ;MFIR;;
20;15.03.02;Технологические машины и оборудование ВФ;MFCILR;;
21;15.03.02;Технологические машины и оборудование заочное ВФ;MFCILR;;
22;22.03.01;Материаловедение и технологии материалов ВФ;MFCILR;;
23;22.03.02;Металлургия ВФ;MFCILR;;
24;22.03.02;Металлургия заочное ВФ;MFCILR;;
25;13.03.01;Теплоэнергетика и теплотехника заочное НФ;MFCIR;;
26;13.03.02;Электроэнергетика и электротехника заочное НФ;MFCIR;;
27;13.03.02;Электроэнергетика и электротехника НФ;MFCIR;;
28;15.03.02;Технологические машины и оборудование заочное НФ;MFCIR;;
29;15.03.02;Технологические машины и оборудование НФ;MFCIR;;
30;18.03.01;Химическая технология заочное НФ;MCFIR;;
31;18.03.01;Химическая технология НФ;MCFIR;;
32;22.03.02;Металлургия заочное НФ;MFCIR;;
33;22.03.02;Металлургия НФ;MFCIR;;
34;22.03.02;Металлургия ДФ;MFR;;
35;22.03.02;Металлургия заочное ДФ;MFR;;
36;20.03.01;Техносферная безопасность ГФ;MFIR;;
37;20.03.01;Техносферная безопасность заочное ГФ;MFIR;;
38;21.05.04;Горное дело ГФ;MFIR;;
39;1.05.04;Горное дело заочное ГФ;MFIR;;
40;21.05.04;Горное дело АФ;MFR;;
41;21.05.04;Горное дело заочное АФ;MFR;;
42;22.03.02;Металлургия АФ;MFR;;
43;22.03.02;Металлургия заочное АФ;MFR;;
44;01.03.04;Прикладная математика;MIFCR;;
45;09.00.00;Информатика и вычислительная техника;MIFCR;;
46;09.03.02;Информационные системы и технологии СТИ;MIFR;;
47;15.03.04;Автоматизация технологических процессов и производств заочное СТИ;MFIR;;
48;15.03.04;Автоматизация технологических процессов и производств СТИ;MFIR;;
49;09.03.03;Прикладная информатика заочное НФ;MIFCR;;
50;09.03.03;Прикладная информатика НФ;MIFCR;;
51;09.03.01;Информатика и вычислительная техника ДФ;MIR;;
52;15.03.04;Автоматизация технологических процессов и производств АФ;MFR;;
53;15.03.04;Автоматизация технологических процессов и производств заочное АФ;MFR;;
54;09.03.02;Информационные системы и технологии АФ;MFR;;
55;09.03.02;Информационные системы и технологии заочное АФ;MFR;;
56;38.03.05;Бизнес информатика;MOIR;;
57;38.00.00;Экономика и управление;MOILR;;
58;38.03.01;Экономика заочное СТИ;MOR;;
59;38.03.01;Экономика очно-заочное СТИ;MOR;;
60;38.03.01;Экономика СТИ;MOR;;
61;38.03.02;Менеджмент заочное СТИ;MOR;;
62;38.03.02;Менеджмент очно-заочное СТИ;MOR;;
63;38.03.02;Менеджмент СТИ;MOR;;
64;38.03.01;Экономика НФ;MOIR;;
65;38.03.01;Экономика очно-заочное НФ;MOIR;;
66;38.03.01;Экономика ДФ;MOR;;
67;38.03.01;Экономика очно-заочное ДФ;MOR;;
68;38.03.01;Экономика АФ;MOLR;;
69;38.03.01;Экономика заочное АФ;MOLR;;
70;45.03.02;Лингвистика;LROHI;;
#lgots;10;;;;
0;Всероссийская олимпиада школьников по математике;математика;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по физике;физика;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по ОБЖ;ОБЖ;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по технологии;техника, технология и техническое творчество;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по технологии;культура дома, дизайн и технология;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по технологии;информационная безопасность;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по технологии;робототехника;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по экологии;экология;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по химии;химия;P0;6 38 40 41 5;*
0;Всероссийская олимпиада школьников по информатике;информатика;P0;6 38 40 41 5;*
-1;Всероссийская олимпиада школьников по русскому языку;русский язык;P0;6 38 40 41 5;R
-1;Всероссийская олимпиада школьников по астрономии;астрономия;P0;6 38 40 41 5;F
0;Всероссийская олимпиада школьников по математике;математика;P0;1;*
0;Всероссийская олимпиада школьников по физике;физика;P0;1;*
0;Всероссийская олимпиада школьников по технологии;техника, технология и техническое творчество;P0;1;*
0;Всероссийская олимпиада школьников по технологии;культура дома, дизайн и технология;P0;1;*
0;Всероссийская олимпиада школьников по технологии;информационная безопасность;P0;1;*
0;Всероссийская олимпиада школьников по технологии;робототехника;P0;1;*
-1;Всероссийская олимпиада школьников по русскому языку;русский язык;P0;1;R
-1;Всероссийская олимпиада школьников по астрономии;астрономия;P0;1;F
0;Всероссийская олимпиада школьников по математике;математика;P0;9 10 11 12 13 25 3 14 15 26 27 4 16 17 20 21 28 8 18 19 23 24 32 33 34 35 42 43 4 16 17 20 21 28 29 7 22 3 14 15 26 27 30 31 36 37;*
