#name;СПбГУТ;Федеральное государственное бюджетное образовательное учреждение высшего образования «?Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича»?;;;
1;09.03.2001;Распределенные системы управления в сетях связи пятого и последующих поколений;MRI;;
2;09.03.2002;Интеллектуальные информационные системы и технологии;MRI;;
3;09.03.2002;Технологии проектирования систем обработки данных.;MRI;;
4;09.03.2002;Дизайн графических и пользовательских интерфейсов информационных систем;MRI;;
5;09.03.2002;Системное и прикладное программирование информационных систем;MRI;;
6;09.03.2004;Разработка программного обеспечения и приложений искусственного интеллекта в киберфизических системах;MRI;;
7;10.03.2001;Безопасность компьютерных систем;MRI;;
8;11.03.2001;Радиотехника;MRFI;;
9;11.03.2002;Инфокоммуникационные технологии и системы связи;MRFI;;
10;11.03.2003;Информационные технологии проектирования радиоэлектронных средств;MRFI;;
11;11.03.2004;Промышленная электроника;MRFI;;
12;12.03.2003;Оптические и квантовые технологии в инфокоммуникациях;MRFI;;
13;12.03.2004;Биотехнические и медицинские аппараты и системы;MRFIB;;
14;15.03.2004;Программно-алгоритмическое обеспечение автоматизированных систем;MRFI;;
15;15.03.2006;Мехатроника и робототехника;MRFI;;
16;38.03.02;Менеджмент;MROI;;
17;38.03.05;Управление бизнес-процессами предприятия в цифровой экономике;MROI;;
18;41.03.01;Зарубежное регионоведение;HRLGO;;
19;42.03.01;Реклама и связи с общественностью;ORHIL;;
20;10.05.2002;Информационная безопасность телекоммуникационных систем;MRI;;
21;10.05.2007;Противодействие техническим разведкам;MRI;;
22;11.05.2004;Инфокоммуникационные технологии и системы специальной связи;MRFI;;
#lgots;9;;;;
-1;«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг;финансовая грамотность;P3;+38.03.02 +38.03.05;
-1;«Формула Единства»/«Третье тысячелетие»;математика;P2;+05.03.06 +09.03.01 +09.03.02 +09.03.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +15.03.04 +12.03.04 +10.03.01 +12.03.03 +27.03.04 +38.03.02 +38.03.05 +10.05.02 +10.05.07 +11.05.04;
-1;«Формула Единства»/«Третье тысячелетие»;физика;P2;+11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.03 +12.03.04 +15.03.04 +27.03.04 +11.05.04;
-1;«Формула Единства»/«Третье тысячелетие»;иностранный язык;P3;+42.03.01 +41.03.01;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;автоматизация бизнес-процессов;P2;+09.03.01 +09.03.02 +09.03.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +27.03.04 +11.05.04 +10.05.02 +10.03.01 +10.05.07;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;автономные транспортные системы;P3;+09.03.01 +09.03.02 +09.03.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +27.03.04 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;анализ космических снимков и геопространственных данных;P3;+05.03.06 +09.03.01;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;аэрокосмические системы;P3;+09.03.01 +11.03.03 +11.03.04 +12.03.03 +12.03.04 +27.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;беспилотные авиационные системы;P2;+09.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.03 +12.03.04 +27.03.04 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;большие данные и машинное обучение;P3;+09.03.01 +09.03.02 +09.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;водные робототехнические системы;P2;+09.03.01 +09.03.02 +09.03.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +27.03.04 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;геномное редактирование;P3;+05.03.06 +12.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;инженерные биологические системы;P2;+05.03.06 +12.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;интеллектуальные робототехнические системы;P2;+09.03.01 +09.03.02 +09.03.04 +27.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;интеллектуальные энергетические системы;P3;+09.03.01 +09.03.02 +09.03.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +10.03.01 +27.03.04 +10.05.02 +10.05.07 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;информационная безопасность;P3;+09.03.01 +09.03.02 +09.03.04 +10.03.01 +10.05.02 +10.05.07;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;искусственный интеллект;P2;+09.03.01 +09.03.02 +09.03.04 +10.03.01 +10.05.02 +10.05.07;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;летающая робототехника;P3;+09.03.01 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.03 +27.03.04 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;наносистемы и наноинженерия;P3;+11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.03 +12.03.04 +11.05.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;нейротехнологии и когнитивные науки;P2;+09.03.01 +09.03.02 +09.03.04 +12.03.03 +12.03.04 +27.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;новые материалы;P3;+09.03.01;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;передовые производственные технологии;P3;+09.03.01 +09.03.02 +09.03.04 +27.03.04;
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;разработка компьютерных игр;P3;+09.03.01 +09.03.02 +09.03.04 +10.03.01 +10.05.02 +10.05.07;
