#name;УРФУ;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»;;;
1;03.05.01;Астрономия;FRIM;;
2;06.03.01;Биология;BRMC;;
3;21.03.03;Геодезия и дистанционное зондирование;MRGIF;;
4;05.03.04;Гидрометеорология;GRBIM;;
5;01.03.01;Математика;MRIF;;
6;02.03.01;Математика и компьютерные науки;MRIF;;
7;10.05.01;Математические методы защиты информации;MRIF;;
8;02.03.03;Математическое обеспечение и администрирование информационных систем;MRIF;;
9;30.05.02;Медицинская биофизика;FRBIMC;;
10;30.05.01;Медицинская биохимия;CRBM;;
11;27.03.01;Метрология информационных и измерительных систем;MRIF;;
12;01.03.03;Механика и математическое моделирование;MRIF;;
13;01.03.04;Прикладная математика;MRIF;;
14;02.03.02;Разработка программных продуктов;MRIF;;
15;27.03.05;Управление исследованиями и разработками;MRIF;;
16;03.03.02;Физика;FRIM;;
17;03.05.02;Фундаментальная и прикладная физика;FRIM;;
18;04.05.01;Фундаментальная и прикладная химия;CRBIM;;
19;04.03.02;Химическое материаловедение;MRIFC;;
20;04.03.01;Химия;CRBIM;;
21;30.05.03;Цифровая медицина и биоинформатика;MRBI;;
22;05.03.06;Экология;BRGMC;;
23;15.03.04;Автоматизация технологических процессов и производств;MRIFC;;
24;09.03.02;Информационные системы и технологии;MRIF;;
25;15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;MRIFC;;
26;12.03.05;Лазерные, аддитивные и упрочняющие технологии в машиностроении;MRIFC;;
27;15.03.01;Машиностроение;MRIFC;;
28;22.03.02;Металлургия;MRIFC;;
29;15.03.06;Мехатроника и робототехника;MRIFC;;
30;12.03.02;Оптические технологии и материалы;MRIFC;;
31;23.03.02;Проектирование автомобилей и подъемно-транспортных машин;MRIFC;;
32;15.05.01;Проектирование технологических машин и комплексов;MRIFC;;
33;08.03.01;Производство и применение строительных материалов, изделий и конструкций;MRIF;;
34;27.03.01;Стандартизация и метрология;MRIF;;
35;23.03.03;Техническая эксплуатация автомобилей и подъемно-транспортных машин;MRIFC;;
36;15.03.02;Технологические машины и оборудование;MRIFC;;
37;18.03.01;Технология высокотемпературных неметаллических конструкционных и функциональных изделий и наноматериалов;MRIFC;;
38;29.03.04;Технология изготовления ювелирных изделий;MR;;
39;23.05.02;Транспортные средства специального назначения;MRIFC;;
40;22.03.01;Цифровая инженерия перспективных материалов;MRIFC;;
41;27.05.01;Цифровизация систем стандартизации технологических процессов и производств машиностроения;MRIFC;;
42;09.03.01;Алгоритмы искусственного интеллекта;MRIF;;
43;10.03.01;Безопасность компьютерных систем;MRIF;;
44;11.03.02;Инфокоммуникационные технологии и системы связи;MRIF;;
45;09.03.01;Информатика и вычислительная техника;MRIF;;
46;10.05.02;Информационная безопасность телекоммуникационных систем;MRIF;;
47;10.05.04;Информационно-аналитические системы безопасности;MRIF;;
48;11.03.03;Конструирование и технология электронных средств;MRIF;;
49;09.03.03 ;Прикладная информатика;MRIF;;
50;09.03.03;Прикладной искусственный интеллект;MRIF;;
51;09.03.04;Программная инженерия;MRIF;;
52;11.03.01;Радиотехника;MRIF;;
53;11.05.01;Радиоэлектронные системы и комплексы;MRIFC;;
54;29.03.03;Технология полиграфического и упаковочного производства;MRIFC;;
55;27.03.04;Управление в технических системах;MRIF;;
56;07.03.01;Архитектура;MR;;
57;08.03.01;Строительство зданий, сооружений и развитие территорий;MRIF;;
58;08.05.01;Строительство уникальных зданий и сооружений;MRIF;;
59;43.03.03;Гостиничное дело;ORLH;;
60;39.03.03;Организация работы с молодежью;HRLKO;;
61;43.03.01;Сервис в индустрии спорта и рекреации;MRGLIHO;;
62;49.03.04;Спортивная подготовка в игровых видах спорта;BR;;
63;49.03.01;Физическая культура;BR;;
64;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);BR;;
